6661_1	2773668	2773761
9062_0	224682	224756
9062_1	224756	224906
9062_2	224906	225004
6561_0	528200	528269
6461_0	183447	183570
6461_1	183570	183643
6461_2	183643	183721
3960_0	2686947	2687220
3960_1	2687220	2687273
11365_0	873243	873315
6361_0	137336	137508
3860_0	2219320	2219374
3860_1	2219374	2219518
3860_2	2219518	2219598
11265_0	2113685	2113826
6261_0	41394	41616
11265_1	2113826	2113918
3760_0	2026489	2026569
3760_1	2026569	2026681
11165_0	147537	147596
6161_0	1672557	1672653
11165_1	147596	147660
6161_1	1672653	1672833
3660_0	789571	789741
11065_0	617794	617868
6061_0	2053948	2054127
3560_0	531848	532081
3460_0	77591	77638
3460_1	77638	77845
8962_0	78047	78213
8962_1	78213	78361
3360_0	552916	553065
3360_1	553065	553162
3360_2	553162	553268
8862_0	2803063	2803261
3260_0	101495	101558
3260_1	101558	101772
8762_0	1401157	1401486
3160_0	2749993	2750294
8662_0	2664513	2664746
8662_1	2664746	2664802
3060_0	2281038	2281165
3060_1	2281165	2281402
8562_0	2414889	2414972
8562_1	2414972	2415195
8462_0	2160201	2160312
8462_1	2160312	2160470
10965_0	2552400	2552626
5961_0	1082609	1082790
8362_0	2757154	2757448
10865_0	1576057	1576399
5861_0	622290	622404
8262_0	2652056	2652314
10765_0	1001774	1001882
5761_0	2585154	2585476
10765_1	1001882	1002119
8162_0	67952	68191
10665_0	528586	528646
5661_0	2105586	2105711
10665_1	528646	528911
5661_1	2105711	2105883
8062_0	2364788	2364934
10565_0	904862	905110
10465_0	1251831	1251966
5461_0	4559	4810
5461_1	4810	4882
2960_0	2049149	2049437
10365_0	1603942	1604101
5361_0	1111791	1112125
2860_0	2528034	2528082
2860_1	2528082	2528289
10265_0	18978	19266
5261_0	647879	648002
5261_1	648002	648169
2760_0	1248260	1248343
2760_1	1248343	1248557
10165_0	245635	245865
2660_0	1687158	1687412
10065_0	2275572	2275714
5061_0	2133640	2133736
5061_1	2133736	2133930
2560_0	1937893	1937948
2460_0	343257	343451
7962_0	2283478	2283638
7962_1	2283638	2283751
2360_0	620171	620255
2360_1	620255	620475
7862_0	2344504	2344588
7862_1	2344588	2344691
7862_2	2344691	2344749
2260_0	1080167	1080421
7762_0	270602	270707
7762_1	270707	270788
7762_2	270788	270845
2160_0	1268575	1268670
2160_1	1268670	1268910
7662_0	2678918	2679102
7662_1	2679102	2679239
2060_0	1707517	1707668
2060_1	1707668	1707806
7562_0	1253806	1253997
7562_1	1253997	1254068
7462_0	1360108	1360157
7462_1	1360157	1360269
7462_2	1360269	1360327
4961_0	447676	447971
7462_3	1360327	1360379
4961_1	447971	448021
7462_4	1360379	1360441
7362_0	919134	919242
7362_1	919242	919341
4861_0	916804	916965
4861_1	916965	917064
7262_0	291142	291354
4761_0	1773157	1773222
4761_1	1773222	1773333
7162_0	1601697	1601883
7162_1	1601883	1601951
4661_0	2229026	2229112
4661_1	2229112	2229329
7062_0	1704700	1704915
7062_1	1704915	1705010
4561_0	1144041	1144110
4561_1	1144110	1144336
4461_0	1594900	1594951
4461_1	1594951	1595069
1960_0	1513999	1514216
9963_0	1433293	1433440
4461_2	1595069	1595153
9963_1	1433440	1433618
4361_0	2477796	2477870
4361_1	2477870	2478018
1860_0	242571	242743
9863_0	271825	272028
4361_2	2478018	2478142
1860_1	242743	242859
9863_1	272028	272127
4261_0	883244	883361
1760_0	2149266	2149551
9763_0	2196653	2196812
4161_0	1749992	1750318
1660_0	1702197	1702370
9663_0	1738083	1738426
1660_1	1702370	1702500
4061_0	2205384	2205657
1560_0	846243	846332
9563_0	1378860	1379167
