1191_0	1674574	1674717
621_0	574947	575074
1191_1	1674717	1674827
4766_0	1740359	1740655
621_1	575074	575318
1412_0	1084794	1084956
7578_0	1587594	1587716
7578_1	1587716	1587765
1693_0	1437559	1437841
4224_0	1582518	1582729
6371_0	1277077	1277173
2358_0	211491	211548
6371_1	1277173	1277410
1914_0	1970812	1971116
360_0	675278	675415
360_1	675415	675535
7036_0	453140	453447
1151_0	1535955	1536078
4726_0	1890979	1891178
6873_0	1533563	1533693
6873_1	1533693	1533809
862_0	953586	953714
862_1	953714	953851
7538_0	65334	65420
7538_1	65420	65584
2097_0	1760266	1760373
1653_0	1912428	1912516
1653_1	1912516	1912656
6331_0	1412979	1413311
2318_0	1517073	1517329
4465_0	379447	379607
320_0	1515930	1516200
2599_0	890275	890383
2599_1	890383	890457
2599_2	890457	890550
1111_0	1398951	1399065
7277_0	1640872	1641037
6833_0	1395268	1395540
6833_1	1395540	1395654
1392_0	1319207	1319570
4967_0	1169728	1170035
822_0	1091928	1092161
6070_0	579785	579919
2057_0	1923397	1923592
6070_1	579919	580115
1613_0	184064	184265
1613_1	184265	184348
3760_0	1620990	1621047
1894_0	94400	94719
4425_0	1191231	1191304
6572_0	777386	777514
2559_0	1050840	1051123
6572_1	777514	777688
561_0	268804	269178
7237_0	1502784	1503100
1352_0	964714	964898
4927_0	1049995	1050097
4927_1	1050097	1050227
4927_2	1050227	1050295
6030_0	600377	600602
2017_0	547327	547382
6030_1	600602	600704
2017_1	547382	547454
4164_0	257431	257821
3720_0	1756269	1756465
3720_1	1756465	1756544
2298_0	857434	857782
1854_0	228671	228748
1854_1	228748	228853
6532_0	624315	624473
2519_0	1172604	1172787
1091_0	99123	99372
521_0	814489	814622
4666_0	1419282	1419578
521_1	814622	814699
521_2	814699	814810
1312_0	1601725	1601884
1312_1	1601884	1602104
7478_0	178061	178231
7478_1	178231	178378
1593_0	1289828	1290014
4124_0	1088359	1088509
6271_0	1055454	1055712
2258_0	1280584	1280706
1814_0	366805	366902
1814_1	366902	367136
260_0	1423264	1423436
3961_0	150858	150957
260_1	1423436	1423504
3961_1	150957	151210
1051_0	425879	425961
4626_0	1283182	1283468
1051_1	425961	426096
1051_2	426096	426164
6773_0	1251464	1251602
6773_1	1251602	1251782
762_0	206196	206329
762_1	206329	206521
7438_0	1271569	1271833
7438_1	1271833	1271900
1553_0	545891	546131
1553_1	546131	546188
1553_2	546188	546235
6231_0	1204818	1204916
2218_0	1140119	1140391
6231_1	1204916	1205131
4365_0	202760	202891
220_0	1289007	1289140
4365_1	202891	203064
3921_0	1792844	1793199
2499_0	496314	496377
1011_0	906391	906514
1011_1	906514	906694
7177_0	347527	347836
6733_0	695144	695317
7177_1	347836	347910
6733_1	695317	695536
1292_0	1706556	1706662
4867_0	846856	847060
722_0	74457	74555
4867_1	847060	847195
1513_0	266986	267241
1513_1	267241	267324
7679_0	109136	109423
3660_0	1379831	1380189
7679_1	109423	109498
1794_0	63307	63468
1794_1	63468	63608
4325_0	419448	419707
6472_0	46595	46887
2459_0	931775	932102
461_0	1946853	1947088
7137_0	213235	213532
1252_0	1845342	1845544
4827_0	698106	698278
1252_1	1845544	1845683
6974_0	1774745	1775044
963_0	1263199	1263483
4064_0	1938168	1938304
3620_0	1246069	1246345
7639_0	246710	246834
3620_1	1246345	1246436
2198_0	1604516	1604762
1754_0	1905473	1905752
2419_0	775119	775240
6432_0	1588070	1588335
2419_1	775240	775427
6432_1	1588335	1588446
2419_2	775427	775487
421_0	1098427	1098612
4566_0	1944979	1945263
1212_0	30588	30708
7378_0	839554	839863
7378_1	839863	839939
6934_0	1699149	1699300
6934_1	1699300	1699474
1493_0	786703	786891
923_0	1402925	1403016
923_1	1403016	1403278
4024_0	1778294	1778459
6171_0	244900	245057
