1954_0	142632	142774
2619_0	943262	943363
1191_0	399078	399175
4766_0	263688	263946
621_0	210153	210408
4766_1	263946	264073
4766_2	264073	264179
1412_0	457801	458090
1693_0	1238672	1238743
1693_1	1238743	1238912
4224_0	710689	710935
2358_0	233982	234075
1914_0	683206	683330
360_0	374906	375086
1151_0	104967	105194
4726_0	809840	810103
862_0	95784	95950
862_1	95950	96041
2097_0	1409333	1409499
1653_0	1009584	1009851
2318_0	145748	145890
2318_1	145890	146056
4465_0	448078	448300
320_0	252102	252364
2599_0	218009	218168
1111_0	203145	203414
1392_0	659650	659882
4967_0	649005	649308
822_0	348040	348195
6070_0	212623	212681
2057_0	92379	92601
6070_1	212681	212905
1613_0	1106330	1106503
3760_0	199918	200114
1894_0	1164036	1164118
1894_1	1164118	1164362
4425_0	544493	544563
4425_1	544563	544613
2559_0	124462	124673
561_0	729687	729908
1352_0	747470	747614
4927_0	74135	74287
1352_1	747614	747692
4927_1	74287	74366
6030_0	117494	117563
2017_0	195159	195342
6030_1	117563	117719
4164_0	927732	927969
3720_0	289699	289869
2298_0	812746	812936
1854_0	1267969	1268285
2298_1	812936	812993
2519_0	14576	14696
1091_0	128476	128681
4666_0	488232	488329
521_0	640622	640876
4666_1	488329	488400
1312_0	851352	851562
1593_0	534984	535105
1593_1	535105	535283
4124_0	1020340	1020468
4124_1	1020468	1020534
6271_0	527198	527296
2258_0	306209	306311
1814_0	1374467	1374578
260_0	605846	606143
3961_0	1214360	1214498
3961_1	1214498	1214720
1051_0	1232765	1232851
4626_0	749292	749379
1051_1	1232851	1233059
4626_1	749379	749483
762_0	1077185	1077310
762_1	1077310	1077430
1553_0	839453	839681
6231_0	438446	438748
2218_0	414336	414407
2218_1	414407	414615
2218_2	414615	414698
4365_0	576143	576431
220_0	714280	714334
3921_0	1112925	1112996
220_1	714334	714555
3921_1	1112996	1113148
220_2	714555	714613
3921_2	1113148	1113209
2499_0	486965	487120
3921_3	1113209	1113279
1011_0	1344572	1344792
1292_0	371918	372081
4867_0	115224	115414
722_0	1176373	1176600
1513_0	734808	734956
3660_0	1188242	1188470
1794_0	1149458	1149603
4325_0	473259	473411
2459_0	393845	394019
461_0	955870	956030
461_1	956030	956194
1252_0	678006	678172
4827_0	9518	9647
963_0	24738	24869
4064_0	864413	864676
3620_0	62734	62864
2198_0	1117607	1117678
1754_0	1054662	1054837
2198_1	1117678	1117802
2419_0	294106	294297
421_0	865812	865948
421_1	865948	866008
1212_0	573583	573893
1493_0	260288	260484
923_0	132976	133206
4024_0	43957	44086
4024_1	44086	44320
6171_0	34710	34803
2158_0	1217302	1217511
1714_0	961921	962047
1714_1	962047	962128
160_0	422088	422189
160_1	422189	422299
3861_0	1402677	1402813
3861_1	1402813	1402969
1995_0	37738	37795
4526_0	131437	131573
